id,parent_id,level,url,keyword,intent,volume,keyword_difficulty,source,notes
1,,0,/,StatsYard NFL match player stats,Navigational,,,derived,Homepage
2,1,1,/nfl/match-player-stats,match player stats,"Informational, Commercial",,,derived,Pillar page for the cluster
3,2,2,/nfl/{season}/match-player-stats,{season} match player stats,Informational,,,derived,Season hub page
4,2,2,/nfl/teams,NFL team player stats,Informational,,,derived,Teams index
5,2,2,/nfl/stats-glossary,NFL stats glossary,Informational,,,derived,Evergreen glossary page
6,4,3,/nfl/teams/49ers/player-stats,49ers player stats,"Informational, Commercial",,,derived,Team stats hub
7,4,3,/nfl/teams/76ers/player-stats,76ers player stats,"Informational, Commercial",,,derived,Team stats hub
8,4,3,/nfl/teams/alabama/player-stats,alabama player stats,"Informational, Commercial",,,derived,Team stats hub
9,4,3,/nfl/teams/arizona-cardinals/player-stats,arizona cardinals player stats,"Informational, Commercial",,,derived,Team stats hub
10,4,3,/nfl/teams/arizona-state/player-stats,arizona state player stats,"Informational, Commercial",,,derived,Team stats hub
11,4,3,/nfl/teams/atlanta-braves/player-stats,atlanta braves player stats,"Informational, Commercial",,,derived,Team stats hub
12,4,3,/nfl/teams/atlanta-dream/player-stats,atlanta dream player stats,"Informational, Commercial",,,derived,Team stats hub
13,4,3,/nfl/teams/atlanta-falcons/player-stats,atlanta falcons player stats,"Informational, Commercial",,,derived,Team stats hub
14,4,3,/nfl/teams/atlanta-hawks/player-stats,atlanta hawks player stats,"Informational, Commercial",,,derived,Team stats hub
15,4,3,/nfl/teams/baltimore-orioles/player-stats,baltimore orioles player stats,"Informational, Commercial",,,derived,Team stats hub
16,4,3,/nfl/teams/baltimore-ravens/player-stats,baltimore ravens player stats,"Informational, Commercial",,,derived,Team stats hub
17,4,3,/nfl/teams/bengals/player-stats,bengals player stats,"Informational, Commercial",,,derived,Team stats hub
18,4,3,/nfl/teams/boise-state/player-stats,boise state player stats,"Informational, Commercial",,,derived,Team stats hub
19,4,3,/nfl/teams/boston-celtics/player-stats,boston celtics player stats,"Informational, Commercial",,,derived,Team stats hub
20,4,3,/nfl/teams/brooklyn-nets/player-stats,brooklyn nets player stats,"Informational, Commercial",,,derived,Team stats hub
21,4,3,/nfl/teams/brøndby/player-stats,brøndby player stats,"Informational, Commercial",,,derived,Team stats hub
22,4,3,/nfl/teams/buffalo-bills/player-stats,buffalo bills player stats,"Informational, Commercial",,,derived,Team stats hub
23,4,3,/nfl/teams/carolina-panthers/player-stats,carolina panthers player stats,"Informational, Commercial",,,derived,Team stats hub
24,4,3,/nfl/teams/celtics/player-stats,celtics player stats,"Informational, Commercial",,,derived,Team stats hub
25,4,3,/nfl/teams/chargers/player-stats,chargers player stats,"Informational, Commercial",,,derived,Team stats hub
26,4,3,/nfl/teams/charlotte-hornets/player-stats,charlotte hornets player stats,"Informational, Commercial",,,derived,Team stats hub
27,4,3,/nfl/teams/chelsea-fc/player-stats,chelsea f.c. player stats,"Informational, Commercial",,,derived,Team stats hub
28,4,3,/nfl/teams/chicago-bears/player-stats,chicago bears player stats,"Informational, Commercial",,,derived,Team stats hub
29,4,3,/nfl/teams/chicago-bulls/player-stats,chicago bulls player stats,"Informational, Commercial",,,derived,Team stats hub
30,4,3,/nfl/teams/chicago-cubs/player-stats,chicago cubs player stats,"Informational, Commercial",,,derived,Team stats hub
31,4,3,/nfl/teams/chicago-sky/player-stats,chicago sky player stats,"Informational, Commercial",,,derived,Team stats hub
32,4,3,/nfl/teams/cincinnati-reds/player-stats,cincinnati reds player stats,"Informational, Commercial",,,derived,Team stats hub
33,4,3,/nfl/teams/cleveland-browns/player-stats,cleveland browns player stats,"Informational, Commercial",,,derived,Team stats hub
34,4,3,/nfl/teams/cleveland-cavaliers/player-stats,cleveland cavaliers player stats,"Informational, Commercial",,,derived,Team stats hub
35,4,3,/nfl/teams/cleveland-guardians/player-stats,cleveland guardians player stats,"Informational, Commercial",,,derived,Team stats hub
36,4,3,/nfl/teams/clippers/player-stats,clippers player stats,"Informational, Commercial",,,derived,Team stats hub
37,4,3,/nfl/teams/colorado-rockies/player-stats,colorado rockies player stats,"Informational, Commercial",,,derived,Team stats hub
38,4,3,/nfl/teams/colts/player-stats,colts player stats,"Informational, Commercial",,,derived,Team stats hub
39,4,3,/nfl/teams/connecticut-sun/player-stats,connecticut sun player stats,"Informational, Commercial",,,derived,Team stats hub
40,4,3,/nfl/teams/dallas-cowboys/player-stats,dallas cowboys player stats,"Informational, Commercial",,,derived,Team stats hub
41,4,3,/nfl/teams/dallas-mavericks/player-stats,dallas mavericks player stats,"Informational, Commercial",,,derived,Team stats hub
42,4,3,/nfl/teams/dallas-wings/player-stats,dallas wings player stats,"Informational, Commercial",,,derived,Team stats hub
43,4,3,/nfl/teams/denver-broncos/player-stats,denver broncos player stats,"Informational, Commercial",,,derived,Team stats hub
44,4,3,/nfl/teams/denver-nuggets/player-stats,denver nuggets player stats,"Informational, Commercial",,,derived,Team stats hub
45,4,3,/nfl/teams/detroit-lions/player-stats,detroit lions player stats,"Informational, Commercial",,,derived,Team stats hub
46,4,3,/nfl/teams/detroit-pistons/player-stats,detroit pistons player stats,"Informational, Commercial",,,derived,Team stats hub
47,4,3,/nfl/teams/detroit-tigers/player-stats,detroit tigers player stats,"Informational, Commercial",,,derived,Team stats hub
48,4,3,/nfl/teams/dodgers/player-stats,dodgers player stats,"Informational, Commercial",,,derived,Team stats hub
49,4,3,/nfl/teams/fc-barcelona/player-stats,fc barcelona player stats,"Informational, Commercial",,,derived,Team stats hub
50,4,3,/nfl/teams/florida-state/player-stats,florida state player stats,"Informational, Commercial",,,derived,Team stats hub
51,4,3,/nfl/teams/golden-state-valkyries/player-stats,golden state valkyries player stats,"Informational, Commercial",,,derived,Team stats hub
52,4,3,/nfl/teams/golden-state-valkyries-timeline/player-stats,golden state valkyries timeline player stats,"Informational, Commercial",,,derived,Team stats hub
53,4,3,/nfl/teams/golden-state-warriors/player-stats,golden state warriors player stats,"Informational, Commercial",,,derived,Team stats hub
54,4,3,/nfl/teams/grambling-st/player-stats,grambling st player stats,"Informational, Commercial",,,derived,Team stats hub
55,4,3,/nfl/teams/green-bay-packers/player-stats,green bay packers player stats,"Informational, Commercial",,,derived,Team stats hub
56,4,3,/nfl/teams/houston-rockets/player-stats,houston rockets player stats,"Informational, Commercial",,,derived,Team stats hub
57,4,3,/nfl/teams/houston-rockets-timeline/player-stats,houston rockets timeline player stats,"Informational, Commercial",,,derived,Team stats hub
58,4,3,/nfl/teams/houston-texans/player-stats,houston texans player stats,"Informational, Commercial",,,derived,Team stats hub
59,4,3,/nfl/teams/illinois/player-stats,illinois player stats,"Informational, Commercial",,,derived,Team stats hub
60,4,3,/nfl/teams/indiana-fever/player-stats,indiana fever player stats,"Informational, Commercial",,,derived,Team stats hub
61,4,3,/nfl/teams/indiana-pacers/player-stats,indiana pacers player stats,"Informational, Commercial",,,derived,Team stats hub
62,4,3,/nfl/teams/indianapolis-colts/player-stats,indianapolis colts player stats,"Informational, Commercial",,,derived,Team stats hub
63,4,3,/nfl/teams/iowa/player-stats,iowa player stats,"Informational, Commercial",,,derived,Team stats hub
64,4,3,/nfl/teams/jacksonville-jaguars/player-stats,jacksonville jaguars player stats,"Informational, Commercial",,,derived,Team stats hub
65,4,3,/nfl/teams/kansas-city-chiefs/player-stats,kansas city chiefs player stats,"Informational, Commercial",,,derived,Team stats hub
66,4,3,/nfl/teams/kansas-state/player-stats,kansas state player stats,"Informational, Commercial",,,derived,Team stats hub
67,4,3,/nfl/teams/knicks/player-stats,knicks player stats,"Informational, Commercial",,,derived,Team stats hub
68,4,3,/nfl/teams/la-clippers/player-stats,la clippers player stats,"Informational, Commercial",,,derived,Team stats hub
69,4,3,/nfl/teams/lakers/player-stats,lakers player stats,"Informational, Commercial",,,derived,Team stats hub
70,4,3,/nfl/teams/las-vegas-aces/player-stats,las vegas aces player stats,"Informational, Commercial",,,derived,Team stats hub
71,4,3,/nfl/teams/las-vegas-raiders/player-stats,las vegas raiders player stats,"Informational, Commercial",,,derived,Team stats hub
72,4,3,/nfl/teams/los-angeles-angels/player-stats,los angeles angels player stats,"Informational, Commercial",,,derived,Team stats hub
73,4,3,/nfl/teams/los-angeles-chargers/player-stats,los angeles chargers player stats,"Informational, Commercial",,,derived,Team stats hub
74,4,3,/nfl/teams/los-angeles-rams/player-stats,los angeles rams player stats,"Informational, Commercial",,,derived,Team stats hub
75,4,3,/nfl/teams/memphis-grizzlies/player-stats,memphis grizzlies player stats,"Informational, Commercial",,,derived,Team stats hub
76,4,3,/nfl/teams/mets/player-stats,mets player stats,"Informational, Commercial",,,derived,Team stats hub
77,4,3,/nfl/teams/miami-dolphins/player-stats,miami dolphins player stats,"Informational, Commercial",,,derived,Team stats hub
78,4,3,/nfl/teams/miami-heat/player-stats,miami heat player stats,"Informational, Commercial",,,derived,Team stats hub
79,4,3,/nfl/teams/michigan/player-stats,michigan player stats,"Informational, Commercial",,,derived,Team stats hub
80,4,3,/nfl/teams/milwaukee-brewers/player-stats,milwaukee brewers player stats,"Informational, Commercial",,,derived,Team stats hub
81,4,3,/nfl/teams/milwaukee-bucks/player-stats,milwaukee bucks player stats,"Informational, Commercial",,,derived,Team stats hub
82,4,3,/nfl/teams/minnesota-lynx/player-stats,minnesota lynx player stats,"Informational, Commercial",,,derived,Team stats hub
83,4,3,/nfl/teams/minnesota-timberwolves/player-stats,minnesota timberwolves player stats,"Informational, Commercial",,,derived,Team stats hub
84,4,3,/nfl/teams/minnesota-vikings/player-stats,minnesota vikings player stats,"Informational, Commercial",,,derived,Team stats hub
85,4,3,/nfl/teams/ms-state/player-stats,ms state player stats,"Informational, Commercial",,,derived,Team stats hub
86,4,3,/nfl/teams/nc-a&t/player-stats,nc a&t player stats,"Informational, Commercial",,,derived,Team stats hub
